Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s)
14.40186453,0,-0.003,-0.8,-0.745999992
14.60183096,0,0,-0.8,-0.790000021
14.80191445,0,0.003,-0.8,-0.745999992
15.00187826,0,0.003,-0.8,-0.745999992
15.20180511,0,0,-0.8,-0.790000021
15.40181565,0,-0.003,-0.8,-0.745999992
15.60192418,0,-0.003,-0.8,-0.745999992
15.80193377,0,-0.003,0.8,-0.745999992
16.00179839,0,-0.003,0.8,0.130999997
16.20178676,0,0.003,0.8,0.657999992
16.40185308,0,0,0.8,0.790000021
16.60186577,0,-0.003,0.8,0.745999992
16.80201221,0,-0.003,0.8,0.745999992
17.0017755,0,0,0.8,0.790000021
17.20181274,0,0.007,0.8,0.790000021
17.40178108,0,-0.003,0.8,0.745999992
17.60176539,0,0,0.8,0.790000021
17.80174685,0,-0.003,0.8,0.833999991
18.00180531,0,0,0.8,0.878000021
18.20180464,0,-0.003,0.8,0.745999992
18.40181828,0,0,0.8,0.790000021
18.60180688,0,0.003,0.8,0.745999992
18.80175066,0,0,0.8,0.702000022
19.00181389,0,0.003,0.8,0.745999992
19.20185637,0,0,0.8,0.790000021
19.40183592,0,0,0.8,0.790000021
19.60182095,0,-0.003,0.8,0.745999992
19.80176473,0,-0.007,-0.8,0.790000021
20.00183058,0,0,-0.8,-0.086999997
20.2017951,0,0,-0.8,-0.526000023
20.40177274,0,0.003,-0.8,-0.745999992
20.60184336,0,0,-0.8,-0.790000021
20.80182028,0,-0.003,-0.8,-0.833999991
21.00181079,0,0,-0.8,-0.790000021
21.20178986,0,0,-0.8,-0.790000021
21.4018898,0,-0.007,-0.8,-0.790000021
21.60182214,0,-0.003,-0.8,-0.745999992
21.80184054,0,0,0.8,-0.790000021
22.00184441,0,0,0.8,0.086999997
22.20180511,0,0,0.8,0.614000022
22.40176225,0,0.003,0.8,0.745999992
22.60177946,0,0,0.8,0.702000022
22.80179763,0,0,0.8,0.702000022
23.00185657,0,-0.003,0.8,0.745999992
23.20178556,0,0,0.8,0.790000021
23.4017024,0,0.003,0.8,0.745999992
23.60180712,0,-0.003,0.8,0.745999992
23.80178857,0,-0.003,-0.8,0.745999992
24.00182414,0,0.003,-0.8,-0.130999997
24.20196652,0,0,-0.8,-0.526000023
24.40204144,0,-0.003,-0.8,-0.745999992
24.60206246,0,-0.003,-0.8,-0.833999991
24.80204034,0,-0.003,-0.8,-0.833999991
25.00193667,0,0,-0.8,-0.878000021
25.20189714,0,0,-0.8,-0.790000021
25.40197229,0,0,-0.8,-0.790000021
25.60191655,0,0,-0.8,-0.790000021
25.80185437,0,-0.003,0.8,-0.833999991
26.00178432,0,-0.007,0.8,0.174999997
26.20182633,0,0,0.8,0.614000022
26.40178943,0,0.007,0.8,0.790000021
26.60185003,0,0,0.8,0.790000021
26.80186105,0,0.003,0.8,0.745999992
27.00181055,0,0.003,0.8,0.745999992
27.20194101,0,-0.003,0.8,0.833999991
27.401932,0,0,0.8,0.790000021
27.60193038,0,-0.003,0.8,0.745999992
27.80181289,0,0,0.8,0.878000021
28.00184035,0,0,0.8,0.790000021
28.20182276,0,0.003,0.8,0.745999992
28.40183592,0,0.003,0.8,0.833999991
28.60189891,0,0.003,0.8,0.833999991
28.80185843,0,0,0.8,0.790000021
29.00196242,0,0,0.8,0.790000021
29.20183229,0,0,0.8,0.790000021
29.40175581,0,0.003,0.8,0.833999991
29.60188556,0,-0.003,0.8,0.833999991
29.80174851,0,0.003,0.8,0.833999991
30.00180316,0,0,0.8,0.790000021
30.20184278,0,0.003,0.8,0.745999992
30.40180993,0,0.003,0.8,0.745999992
30.60177374,0,0,0.8,0.790000021
30.80180573,0,0,0.8,0.790000021
31.00183344,0,0.007,0.8,0.790000021
31.20182896,0,-0.003,0.8,0.745999992
31.4018383,0,-0.003,0.8,0.657999992
31.60182571,0,0,0.8,0.702000022
31.80181694,0,0,0,0.790000021
32.00184846,0,0.003,0,0.395000011
32.20184255,0,0,0,0
32.40187454,0,0,0,0
32.60183859,0,0,0,0
32.80182004,0,0,0,0
33.00183177,0,0,0,0
33.20180154,0,0,0,0
33.40189385,0,0,0,0
33.60186124,0,0,0,0
