Time (s),linear_x_cmd (m/s),linear_x (m/s),angular_z_cmd (rad/s),angular_z (rad/s)
25.60145664,-0.3,-0.301999986,0,0
25.80139685,0.3,-0.294,0,0
26.0014565,0.3,0.082999997,0,0.086999997
26.20141602,0.3,0.338999987,0,-0.086999997
26.40151453,0.3,0.317000002,0,0.086999997
26.60145211,0.3,0.298000008,0,-0.043000001
26.80141449,0.3,0.294,0,0
27.00136399,0.3,0.301999986,0,0
27.2013824,0.3,0.305000007,0,-0.043000001
27.40164137,0.3,0.298000008,0,-0.043000001
27.60162544,0.3,0.294,0,0
27.80144787,0.3,0.298000008,0,0.043000001
28.00143266,0.3,0.294,0,0
28.20139074,0.3,0.301999986,0,0
28.40138745,0.3,0.298000008,0,0.043000001
28.60149789,0.3,0.298000008,0,0.043000001
28.80147624,0.3,0.289999992,0,-0.043000001
29.0013957,0.3,0.301999986,0,0.086999997
29.20141506,0.3,0.298000008,0,0.043000001
29.40141845,0.3,0.294,0,0
29.60148716,0.3,0.305000007,0,-0.043000001
29.80161142,0.3,0.298000008,0,-0.043000001
30.00143647,0.3,0.294,0,0
30.20142102,0.3,0.289999992,0,0.043000001
30.40138507,0.3,0.301999986,0,-0.086999997
30.60139036,0.3,0.298000008,0,-0.043000001
30.80143881,0.3,0.294,0,0
31.00151277,0.3,0.294,0,0
31.20158315,0.3,0.301999986,0,0
31.40143609,0.3,0.305000007,0,-0.043000001
31.60139036,0.3,0.294,0,0
31.80139136,0,0.301999986,0,0
32.00142217,0,0.045000002,0,-0.086999997
32.20157838,0,0,0,0
32.40156507,0,0,0,0
32.60144234,0,0,0,0
32.80143642,0,0,0,0
33.00139427,0,0,0,0
33.20137978,0,0,0,0
33.40137935,0,0,0,0
33.60151267,0,0,0,0
33.80166817,0,0,0,0
34.00153422,0,0,0,0
